id,city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
37190,芜湖,2012年12月历史天气,7℃,1℃,15℃,-5℃,0,0,12/01,0,12/01
37191,芜湖,2012年11月历史天气,15℃,7℃,21℃,1℃,0,0,11/01,0,11/01
37192,芜湖,2012年10月历史天气,24℃,14℃,28℃,9℃,0,0,10/01,0,10/01
37193,芜湖,2012年09月历史天气,27℃,19℃,33℃,13℃,0,0,09/01,0,09/01
37194,芜湖,2012年08月历史天气,32℃,25℃,36℃,21℃,0,0,08/01,0,08/01
37195,芜湖,2012年07月历史天气,34℃,26℃,38℃,22℃,0,0,07/01,0,07/01
37196,芜湖,2012年06月历史天气,30℃,22℃,35℃,18℃,0,0,06/01,0,06/01
37197,芜湖,2012年05月历史天气,27℃,18℃,32℃,15℃,0,0,05/01,0,05/01
37198,芜湖,2012年04月历史天气,22℃,14℃,31℃,12℃,0,0,04/01,0,04/01
37199,芜湖,2012年03月历史天气,13℃,6℃,26℃,1℃,0,0,03/01,0,03/01
37200,芜湖,2012年02月历史天气,7℃,1℃,12℃,-4℃,0,0,02/01,0,02/01
37201,芜湖,2012年01月历史天气,6℃,0℃,9℃,-4℃,0,0,01/01,0,01/01
37202,芜湖,2011年12月历史天气,8℃,1℃,13℃,-3℃,0,0,12/01,0,12/01
37203,芜湖,2011年11月历史天气,18℃,11℃,24℃,2℃,0,0,11/01,0,11/01
37204,芜湖,2011年10月历史天气,22℃,14℃,27℃,9℃,0,0,10/01,0,10/01
37205,芜湖,2011年09月历史天气,27℃,20℃,36℃,15℃,0,0,09/01,0,09/01
37206,芜湖,2011年08月历史天气,31℃,25℃,36℃,20℃,0,0,08/01,0,08/01
37207,芜湖,2011年07月历史天气,32℃,25℃,38℃,23℃,0,0,07/01,0,07/01
37208,芜湖,2011年06月历史天气,28℃,22℃,35℃,19℃,0,0,06/01,0,06/01
37209,芜湖,2011年05月历史天气,27℃,18℃,35℃,12℃,0,0,05/01,0,05/01
37210,芜湖,2011年04月历史天气,22℃,12℃,34℃,5℃,0,0,04/01,0,04/01
